,,,,,,,,,,,,,,,,,,,,,,,,,,,max_TTL
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21573,273,273,,,,,,,,,,,,,,,,,,,,,,21573
10.30.224.195,8.8.8.8,z4055813.iavs9x.u.avast.com,6567,21572,20,20,,,,,,,,,,,,,,,,,,,,,21572
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21572,272,272,,,,,,,,,,,,,,,,,,,,,,21572
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21572,272,272,,,,,,,,,,,,,,,,,,,,,,21572
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21571,271,271,,,,,,,,,,,,,,,,,,,,,,21571
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21571,271,271,,,,,,,,,,,,,,,,,,,,,,21571
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21570,270,270,,,,,,,,,,,,,,,,,,,,,,21570
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21570,270,270,,,,,,,,,,,,,,,,,,,,,,21570
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21568,249,249,,,,,,,,,,,,,,,,,,,,,,21568
10.30.244.55,8.8.8.8,n2833777.iavs9x.u.avast.com,6633,21568,20,20,,,,,,,,,,,,,,,,,,,,,21568
10.30.244.55,8.8.8.8,l2983942.iavs9x.u.avast.com,6720,21568,19,19,,,,,,,,,,,,,,,,,,,,,21568
10.30.244.55,8.8.8.8,s-iavs9x.avcdn.net,1235,21568,20,20,,,,,,,,,,,,,,,,,,,,,21568
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21567,267,267,,,,,,,,,,,,,,,,,,,,,,21567
10.30.244.55,8.8.8.8,n2833777.iavs9x.u.avast.com,6632,21567,19,19,,,,,,,,,,,,,,,,,,,,,21567
10.30.244.55,8.8.8.8,n8283613.iavs9x.u.avast.com,3033,21567,19,19,,,,,,,,,,,,,,,,,,,,,21567
